"gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir06Ox-b33630.2","AT5G05340","AT5G05340.1",1.86577104879176,0.273,0.021,0,0,NA,NA,"apoplast, extracellular region, Golgi apparatus, heme binding, lignin biosynthetic process, plant-type cell wall, positive regulation of syringal lignin biosynthetic process, protein binding, response to oxidative stress, xylem development","DEGs"
"Chir06Ox-b13450.2","AT5G26340","STP13",1.2032065218195,0.301,0.024,0,0,NA,NA,"carbohydrate transmembrane transporter activity, cytoplasm, hexose:proton symporter activity, high-affinity glucose:proton symporter activity, monosaccharide transmembrane transport, monosaccharide transmembrane transporter activity, plasma membrane, plasmodesma, plastid, response to abscisic acid, response to salt stress, response to water deprivation","DEGs"
"Chir04Ox-b22870.2","AT2G40180","ATHPP2C5",1.13191539588406,0.379,0.025,0,0,NA,NA,"abscisic acid-activated signaling pathway, mitochondrion, myosin phosphatase activity, nucleus, protein dephosphorylation, protein serine/threonine phosphatase activity, stomatal lineage progression","DEGs"
"Chir03Ox-b22100.2","AT3G22060","MZN24.26",1.83140050637922,0.385,0.026,0,0,NA,NA,"cytosol, extracellular region, molecular_function, plant-type cell wall, plant-type vacuole, response to abscisic acid, secretory vesicle","DEGs"
"Chir07Ox-b11440.2","AT4G15120","DL3605W",1.1839627630719,0.464,0.055,0,0,NA,NA,"carboxylic acid metabolic process, defense response to bacterium, molecular_function, nucleus, organic acid biosynthetic process, response to abscisic acid, secondary metabolic process","DEGs"
"Chir05Ox-b14840.2","AT3G49780","ATPSK4",2.90209506362146,0.488,0.058,0,0,NA,NA,"cell differentiation, cell population proliferation, cellular catabolic process, cellular response to hypoxia, defense response to bacterium, defense response to fungus, extracellular matrix, extracellular region, Golgi apparatus, immune system process, plant organ morphogenesis, response to chitin, response to inorganic substance, response to salicylic acid, response to wounding, signal transduction","DEGs"
"Chir02Ox-b27870.2","AT1G80120","F18B13.20",1.13729048843889,0.441,0.064,0,0,NA,NA,"anatomical structure maturation, carboxylic acid biosynthetic process, cell differentiation, cell wall organization or biogenesis, cellular_component, defense response, flavonoid metabolic process, glycosyl compound metabolic process, molecular_function, oxoacid metabolic process, response to abscisic acid, response to inorganic substance, response to jasmonic acid, response to wounding, root morphogenesis, tissue development","DEGs"
"Chir08Ox-b25990.2","AT5G63450","CYP94B1",1.25613509441102,0.44,0.066,0,0,NA,NA,"chloroplast, heme binding, iron ion binding, jasmonic acid metabolic process, jasmonoyl-isoleucine-12-hydroxylase activity, monooxygenase activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, protein binding, response to wounding","DEGs"
"Chir01Ox-b15010.2","AT1G14870","PCR2",1.18270048509189,0.358,0.068,0,0,NA,NA,"cytoplasm, molecular_function, plasma membrane, response to oxidative stress","DEGs"
"Chir06Ox-b26800.2","AT5G12340",NA,1.24945249593606,0.477,0.072,0,0,NA,NA,"mitochondrion, molecular_function, response to fungus","DEGs"
