"gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir07Ox-b11520.2","AT4G15210","ATBETA-AMY",1.25032866107276,0.514,0.071,0,0,NA,NA,"amylopectin maltohydrolase activity, beta-amylase activity, extracellular region, response to herbivore, secretory vesicle, starch catabolic process","DEGs"
"Chir06Ox-b17160.2","AT5G22580","AT5G22580.1",1.11253107277627,0.295,0.088,9.03815944256137e-199,1.77690214640756e-194,NA,NA,"chloroplast, cytosol, defense response to other organism, plastid, regulation of hormone levels, tissue development","DEGs"
"Chir02Ox-b14000.2","AT1G67750","AT1G67750.1",1.15420024220515,0.566,0.111,0,0,NA,NA,"extracellular region, meiotic cell cycle process, mitochondrion, pectate lyase activity, pectin catabolic process, response to nutrient levels","DEGs"
"Chir04Ox-b25400.2","AT2G42610","LSH10",1.53833766319912,0.772,0.159,0,0,NA,NA,"cellular developmental process, glucosinolate metabolic process, molecular_function, mRNA transcription, nucleus, oxoacid metabolic process, post-embryonic plant morphogenesis, regionalization, response to light intensity, response to light stimulus, stomatal complex development","DEGs"
"Chir02Ox-b02980.2","AT1G62480","AT1G62480.1",2.99382186255408,0.772,0.174,0,0,NA,NA,"cytosol, nucleus","DEGs"
"Chir01Ox-b33620.2","AT1G35720","ANNAT1",1.01827772147446,0.81,0.274,0,0,NA,NA,"apoplast, ATP binding, calcium ion binding, calcium ion transmembrane transport, chloroplast, chloroplast stroma, copper ion binding, cytoplasm, cytosol, membrane, mitochondrion, nucleus, peroxidase activity, phloem sucrose unloading, plant-type cell wall, plant-type vacuole, plasma membrane, plasmodesma, potassium ion export across plasma membrane, primary root development, protein homodimerization activity, response to abscisic acid, response to cold, response to heat, response to osmotic stress, response to oxidative stress, response to salt stress, response to water deprivation, root hair tip, thylakoid, zinc ion binding","DEGs"
"Chir01Ox-b14810.2","AT1G14700","PAP3",1.21088122851608,0.805,0.298,0,0,NA,NA,"acid phosphatase activity, dephosphorylation, ferric iron binding, ferrous iron binding, generation of precursor metabolites and energy, negative regulation of cellular metabolic process, negative regulation of cellular process, nucleus, plant-type vacuole, response to light intensity","DEGs"
"Chir07Ox-b27160.2","AT4G29905",NA,1.41576042960778,0.747,0.319,0,0,NA,NA,"cellular_component, oxoacid metabolic process, response to light intensity","DEGs"
"Chir01Ox-b21060.2","AT1G21310","ATEXT3",1.91804310553752,0.867,0.425,0,0,NA,NA,"anatomical structure maturation, cell differentiation, cellular catabolic process, defense response to bacterium, defense response to fungus, immune system process, plant epidermis development, plant-type cell wall organization, response to inorganic substance, response to oxidative stress, response to salicylic acid, root morphogenesis, structural constituent of cell wall, toxin metabolic process","DEGs"
"Chir03Ox-b17790.2","AT3G18000","NMT1",1.04548535602207,0.759,0.444,0,0,NA,NA,"choline biosynthetic process, cytoplasm, methyltransferase activity, phosphatidylcholine biosynthetic process, phosphoethanolamine N-methyltransferase activity, phosphomethylethanolamine N-methyltransferase activity, pollen development, pollen tube growth, pollen tube guidance, post-embryonic root development, unidimensional cell growth","DEGs"
