"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir01Ox-b43670.2","Chir01Ox-b43670.2","AT1G55260","LTPG6",1.27631751814167,0.585,0.045,0,0,NA,NA,"defense response to fungus, membrane, nucleus","GEP_27"
"Chir06Ox-b24060.2","Chir06Ox-b24060.2","AT5G15310","ATMYB16",1.02718486500207,0.557,0.05,0,0,"Yes","MYB","cell morphogenesis, cuticle pattern formation, DNA-binding transcription factor activity, nucleus, regulation of cutin biosynthetic process","GEP_27and DEGsand DEGs"
"Chir05Ox-b15810.2","Chir05Ox-b15810.2","AT3G50470","HR3",1.19610367741964,0.753,0.063,0,0,NA,NA,"defense response to fungus, molecular_function, response to fungus","GEP_27"
"Chir04Ox-b23240.2","Chir04Ox-b23240.2","AT2G40475","ASG8",1.44571757237794,0.767,0.077,0,0,NA,NA,"carbohydrate derivative metabolic process, leaf development, molecular_function, nucleus, oxoacid metabolic process, plant organ morphogenesis, plant-type cell wall organization or biogenesis, porphyrin-containing compound metabolic process, secondary metabolic process, shoot system morphogenesis, tropism","GEP_27"
"Chir06Ox-b14130.2","Chir06Ox-b14130.2","AT5G25610","ATRD22",2.01701840733307,0.85,0.082,0,0,NA,NA,"endosome, extracellular region, Golgi apparatus, mRNA binding, nutrient reservoir activity, response to abscisic acid, response to desiccation, response to salt stress, trans-Golgi network","GEP_27"
"Chir03Ox-b04520.2","Chir03Ox-b04520.2","AT3G05165","AT3G05165.6",1.58691375889373,0.745,0.085,0,0,NA,NA,"membrane, mitochondrion, sugar transmembrane transporter activity, transmembrane transport, transmembrane transporter activity","GEP_27"
"Chir01Ox-b05720.2","Chir01Ox-b05720.2","AT1G06360","AT1G06360.1",2.0102020032008,0.754,0.09,0,0,NA,NA,"16:0 monogalactosyldiacylglycerol desaturase activity, acyl-CoA desaturase activity, endoplasmic reticulum, endoplasmic reticulum membrane, mitochondrion, oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water, unsaturated fatty acid biosynthetic process, wax biosynthetic process","GEP_27"
"Chir03Ox-b24710.2","Chir03Ox-b24710.2","AT3G24420","AT3G24420.1",2.24076641803794,0.668,0.092,0,0,NA,NA,"catabolic process, cytoplasm, lipid metabolic process, nucleus, response to abscisic acid, response to hypoxia, response to jasmonic acid, response to light stimulus, secondary metabolic process","GEP_27"
"Chir03Ox-b16150.2","Chir03Ox-b16150.2","AT3G16370","AT3G16370.1",2.47589207382651,0.891,0.094,0,0,NA,NA,"apoplast, chloroplast, hydrolase activity, acting on ester bonds","GEP_27"
"Chir07Ox-b12070.2","Chir07Ox-b12070.2","AT4G15620","AT4G15620.1",1.75355928162931,0.847,0.099,0,0,NA,NA,"4 iron, 4 sulfur cluster binding, mitochondrion, plasma membrane, regulation of cellular component organization, regulation of cellular component size","GEP_27"
"Chir05Ox-b06840.2","Chir05Ox-b06840.2","AT3G28910","ATMYB30",1.40549808664711,0.774,0.087,0,0,"Yes","MYB","DNA-binding transcription factor activity, negative regulation of photomorphogenesis, nucleus, plant-type hypersensitive response, protein binding, response to auxin, response to bacterium, response to high light intensity, response to hypoxia, sequence-specific double-stranded DNA binding, transcription cis-regulatory region binding, very long-chain fatty acid biosynthetic process","DEGs"
"Chir01Ox-b04460.2","Chir01Ox-b04460.2","AT1G05230","AT1G05230.1",1.00837959183328,0.781,0.092,0,0,"Yes","HD-ZIP","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, lipid binding, maintenance of floral organ identity, mucilage biosynthetic process involved in seed coat development, nucleus, plant-type cell wall cellulose metabolic process, positive regulation of DNA-templated transcription initiation, protein binding, seed coat development, transcription cis-regulatory region binding, trichome morphogenesis","DEGs"
"Chir08Ox-b04440.2","Chir08Ox-b04440.2","AT4G04890","AT4G04890.1",1.19074904589752,0.827,0.097,0,0,"Yes","HD-ZIP","cell differentiation, cotyledon development, DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, epidermal cell differentiation, lipid binding, maintenance of floral organ identity, nucleus, protein binding, regulation of seed dormancy process, regulation of seed germination, seed germination, transcription cis-regulatory region binding","DEGs"
"Chir05Ox-b22010.2","Chir05Ox-b22010.2","AT3G56400","WRKY70",1.33644702172935,0.658,0.102,0,0,"Yes","WRKY","camalexin biosynthetic process, cellular response to hypoxia, defense response to bacterium, defense response to fungus, defense response to oomycetes, DNA-binding transcription factor activity, floral organ senescence, indole glucosinolate biosynthetic process, induced systemic resistance, induced systemic resistance, jasmonic acid mediated signaling pathway, leaf senescence, negative regulation of DNA-templated transcription, negative regulation of leaf senescence, nucleus, positive regulation of salicylic acid mediated signaling pathway, protein binding, regulation of brassinosteroid mediated signaling pathway, regulation of defense response, regulation of DNA-templated transcription, regulation of ethylene-activated signaling pathway, regulation of jasmonic acid mediated signaling pathway, regulation of response to osmotic stress, regulation of response to water deprivation, regulation of salicylic acid mediated signaling pathway, regulation of stomatal closure, response to bacterium, response to insect, response to jasmonic acid, response to osmotic stress, response to reactive oxygen species, response to salicylic acid, sequence-specific DNA binding, systemic acquired resistance, salicylic acid mediated signaling pathway, transcription cis-regulatory region binding","DEGs"
"Chir07Ox-b18410.2","Chir07Ox-b18410.2","AT4G21750","AT4G21750.1",1.48116142230605,0.885,0.102,0,0,"Yes","HD-ZIP","cell differentiation, cotyledon development, DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, epidermal cell differentiation, lipid binding, nucleus, plant epidermal cell differentiation, protein binding, regulation of DNA-templated transcription, regulation of seed dormancy process, regulation of seed germination, seed germination, sequence-specific DNA binding","DEGs"
"Chir02Ox-b22640.2","Chir02Ox-b22640.2","AT1G75710","AT1G75710.1",1.06975378307044,0.715,0.108,0,0,"Yes","C2H2","cell division, cellular response to brassinosteroid stimulus, DNA-binding transcription factor activity, nucleus, primary root development, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs"
"Chir05Ox-b12470.2","Chir05Ox-b12470.2","AT3G47600","ATMYBCP70",0.98089522873358,0.68,0.072,0,0,"Yes","MYB","DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, positive regulation of wax biosynthetic process, protein binding, regulation of DNA-templated transcription, response to auxin, response to water deprivation, sequence-specific DNA binding, transcription cis-regulatory region binding","DEGs"
"Chir01Ox-b14480.2","Chir01Ox-b14480.2","AT1G14440","AtHB31",0.907225405237917,0.696,0.169,0,0,"Yes","ZF-HD","DNA-binding transcription factor activity, long-day photoperiodism, flowering, nucleus, protein binding, protein homodimerization activity, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs"
"Chir06Ox-b00960.2","Chir06Ox-b00960.2","AT5G46880","HB-7",0.888274358878031,0.703,0.08,0,0,"Yes","HD-ZIP","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, lipid binding, maintenance of floral organ identity, nucleus","DEGs"
"Chir03Ox-b16580.2","Chir03Ox-b16580.2","AT3G16770","RAP2.3",0.858882656818978,0.8,0.381,0,0,"Yes","ERF","cell death, cytoplasm, DNA binding, DNA-binding transcription factor activity, ethylene-activated signaling pathway, heat acclimation, nucleus, plasma membrane, positive regulation of DNA-templated transcription, protein binding, regulation of DNA-templated transcription, response to cytokinin, response to ethylene, response to jasmonic acid, response to other organism, transcription cis-regulatory region binding","DEGs"
"Chir03Ox-b16200.2","Chir03Ox-b16200.2","AT3G16430","JAL31",1.61101814597489,0.15,0.014,0,0,NA,NA,"copper ion binding, cytoplasm, cytosol, defense response to other organism, glucosinolate metabolic process, molecular_function, plant epidermis development, response to jasmonic acid","DEGs"
"Chir01Ox-b35540.2","Chir01Ox-b35540.2","AT1G45201","ATTLL1",1.22350011635678,0.127,0.016,0,0,NA,NA,"carboxylic acid metabolic process, defense response to other organism, extracellular region, flavonoid biosynthetic process, glucosinolate metabolic process, lipid metabolic process, nucleus, plant-type cell wall biogenesis, plant-type vacuole, regulation of defense response, response to abscisic acid, response to inorganic substance, response to jasmonic acid, response to light stimulus, response to wounding, secretory vesicle, triglyceride lipase activity","DEGs"
"Chir02Ox-b22970.2","Chir02Ox-b22970.2","AT1G75900","GGL13",1.15357259107501,0.371,0.025,0,0,NA,NA,"acyltransferase activity, endoplasmic reticulum, extracellular region, lipase activity, response to osmotic stress, response to water deprivation","DEGs"
"Chir03Ox-b16210.2","Chir03Ox-b16210.2",NA,NA,1.70940270182316,0.257,0.025,0,0,NA,NA,NA,"DEGs"
"Chir04Ox-b21990.2","Chir04Ox-b21990.2","AT2G39410","MAGL7",1.02627418184347,0.337,0.027,0,0,NA,NA,"acylglycerol lipase activity, endoplasmic reticulum, Golgi apparatus, lipase activity, membrane","DEGs"
"Chir01Ox-b08900.2","Chir01Ox-b08900.2","AT1G09310","SVBL",1.77579451526504,0.226,0.03,0,0,NA,NA,"apoplast, carboxylic acid metabolic process, cytosol, endoplasmic reticulum, extracellular region, glucosinolate metabolic process, Golgi apparatus, late endosome, nucleus, plasma membrane, protein-containing complex assembly, response to abscisic acid, response to light stimulus, response to temperature stimulus, trichome patterning","DEGs"
"Chir06Ox-b05170.2","Chir06Ox-b05170.2","AT5G44020","MRH10.13",1.73745600216841,0.387,0.032,0,0,NA,NA,"acid phosphatase activity, cell differentiation, cellular lipid metabolic process, developmental growth, extracellular region, monocarboxylic acid metabolic process, plant epidermis development, plant-type vacuole, plasmodesma, plastid, porphyrin-containing compound metabolic process, response to light intensity, root hair elongation, root morphogenesis, unidimensional cell growth","DEGs"
"Chir05Ox-b09500.2","Chir05Ox-b09500.2",NA,NA,1.01402761313309,0.455,0.04,0,0,NA,NA,NA,"DEGs"
"Chir06Ox-b21610.2","Chir06Ox-b21610.2","AT5G17700","AT5G17700.1",1.47712313376372,0.668,0.04,0,0,NA,NA,"antiporter activity, carboxylic acid metabolic process, defense response, membrane, organelle organization, plasma membrane, transmembrane transporter activity, xenobiotic detoxification by transmembrane export across the plasma membrane, xenobiotic transmembrane transporter activity","DEGs"
"Chir05Ox-b16920.2","Chir05Ox-b16920.2","AT3G51600","AT3G51600.1",1.96015732989109,0.217,0.042,0,0,NA,NA,"cytosol, extracellular region, lipid transport, lipid transporter activity, plant-type cell wall, plasmodesma","DEGs"
