"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir06Ox-b36350.2","Chir06Ox-b36350.2","AT5G02600","NPCC6",1.02199647549724,0.284,0.001,0.97593132422217,1,0,0,NA,NA,"chloroplast, cytoplasm, flower development, metal ion binding, nucleus, phloem transport, root morphogenesis, sodium ion homeostasis","GEP_31"
"Chir03Ox-b29450.2","Chir03Ox-b29450.2","AT2G15310","ATARFB1A",1.18359377779322,0.209,0.002,0.805798906679685,4,0,0,NA,NA,"cytoplasm, Golgi apparatus, GTP binding, GTPase activity, intracellular protein transport, N-terminal protein myristoylation, vesicle-mediated transport","GEP_31"
"Chir04Ox-b29550.2","Chir04Ox-b29550.2","AT2G46630","T3A4.1",1.91146004430918,0.244,0.002,0.532633604468549,13,0,0,NA,NA,"molecular_function, nucleus, tissue development","GEP_31"
"Chir08Ox-b16630.2","Chir08Ox-b16630.2","AT5G54660","MRB17.16",1.05577832325546,0.259,0.002,0.788569196191693,6,0,0,NA,NA,"biological_process, chloroplast, molecular_function","GEP_31"
"Chir03Ox-b21760.2","Chir03Ox-b21760.2","AT3G21600","MIL23.17",1.30028364489345,0.264,0.003,0.863549874719868,2,0,0,NA,NA,"molecular_function, nucleus, plasma membrane, response to inorganic substance, secondary metabolic process","GEP_31"
"Chir07Ox-b12590.2","Chir07Ox-b12590.2",NA,NA,1.56878150852532,0.244,0.003,0.796071522918064,5,0,0,NA,NA,NA,"GEP_31"
"Chir02Ox-b26600.2","Chir02Ox-b26600.2","AT1G79430","WDY",1.66877703173416,0.323,0.004,0.526846282023549,14,0,0,"Yes","G2-like","DNA-binding transcription factor activity, mitochondrion, nucleus, phloem development, positive regulation of DNA-templated transcription, protein binding, regulation of DNA-templated transcription, xylem development","GEP_31"
"Chir02Ox-b15850.2","Chir02Ox-b15850.2","AT1G69410","ATELF5A-3",1.51276466582857,0.174,0.017,0.567063825406525,12,1.31972244053609e-64,2.59457431809396e-60,NA,NA,"cytoplasm, cytosol, mitochondrion, positive regulation of translational elongation, positive regulation of translational termination, ribosome binding, RNA binding, translation elongation factor activity","GEP_31"
"Chir02Ox-b16030.2","Chir02Ox-b16030.2","AT1G69580","AT1G69580.1",1.02063892204476,0.269,0.044,0.193241235259895,34,8.71762125257129e-55,1.71388433825552e-50,"Yes","G2-like","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","GEP_31"
"Chir06Ox-b17670.2","Chir06Ox-b17670.2","AT5G22090","EAR1",1.68326942232701,0.249,0.09,0.286329174096547,31,4.39209097800985e-17,8.63485086276736e-13,NA,NA,"cytoplasm, endoplasmic reticulum, negative regulation of abscisic acid-activated signaling pathway, negative regulation of phosphorylation, nucleus, phosphatase binding, positive regulation of phosphatase activity, protein binding, protein N-terminus binding","GEP_31"
