"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source","rank"
"Chir01Ox-b18070.2","Chir01Ox-b18070.2",NA,NA,0.254224242330911,0.175,0.042,2.78450240162808e-256,5.47433172160081e-252,NA,NA,NA,"GEP_38",1
"Chir04Ox-b10990.2","Chir04Ox-b10990.2",NA,NA,0.449066220736419,0.233,0.045,0,0,NA,NA,NA,"GEP_38",2
"Chir04Ox-b10020.2","Chir04Ox-b10020.2","AT2G28500","AT2G28500.1",0.300882205084495,0.311,0.07,0,0,"Yes","LBD","cellular catabolic process, defense response to other organism, immune system process, negative regulation of abscisic acid-activated signaling pathway, nucleus, organic substance catabolic process, phyllome development, regulation of defense response, response to fungus, response to organonitrogen compound, response to salt stress, response to water deprivation, salicylic acid mediated signaling pathway","GEP_38and DEGs",3
"Chir06Ox-b04340.2","Chir06Ox-b04340.2","AT5G44578","PROSCOOP9",0.34812987826626,0.208,0.072,3.97587359708525e-185,7.8165674918696e-181,NA,NA,"biological_process, endoplasmic reticulum, extracellular region, mitochondrion, molecular_function","GEP_38",4
"Chir05Ox-b21860.2","Chir05Ox-b21860.2","AT3G56220","F18O21.180",0.617115425126365,0.412,0.09,0,0,NA,NA,"DNA-binding transcription factor activity, mitochondrion, nucleus, protein dimerization activity, regulation of DNA-templated transcription, sequence-specific DNA binding","GEP_38",5
"Chir04Ox-b23190.2","Chir04Ox-b23190.2","AT2G40435","T2P4.23",0.623034390103323,0.419,0.109,0,0,NA,NA,"DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, sequence-specific DNA binding","GEP_38",6
"Chir04Ox-b28020.2","Chir04Ox-b28020.2","AT2G45180","AT2G45180.1",1.12806113405932,0.753,0.313,0,0,NA,NA,"chloroplast thylakoid membrane, extracellular region, innate immune response activating cell surface receptor signaling pathway, response to salt stress","DEGs",7
"Chir03Ox-b00610.2","Chir03Ox-b00610.2","AT3G01500","CA1",1.19021543878698,0.712,0.33,0,0,NA,NA,"apoplast, carbon utilization, carbonate dehydratase activity, chloroplast, chloroplast envelope, chloroplast stroma, chloroplast thylakoid membrane, cytoplasm, cytosol, mRNA binding, negative regulation of stomatal complex development, photosynthesis, plasma membrane, regulation of stomatal movement, response to carbon dioxide, response to cold, stromule, thylakoid, zinc ion binding","DEGs",8
"Chir04Ox-b21570.2","Chir04Ox-b21570.2","AT2G39010","PIP2E",1.54744714113347,0.947,0.335,0,0,NA,NA,"cell wall organization or biogenesis, channel activity, Golgi apparatus, hyperosmotic salinity response, mRNA binding, plasma membrane, response to abscisic acid, response to cold, response to light stimulus, response to nematode, response to salt stress, response to water deprivation, response to wounding, transmembrane transport, water channel activity, water transport","DEGs",9
"Chir06Ox-b18420.2","Chir06Ox-b18420.2","AT5G20630","GLP3",2.02095949837254,0.888,0.343,0,0,NA,NA,"apoplast, extracellular matrix, extracellular region, manganese ion binding, nucleus, plant-type cell wall, plastid, secretory vesicle","DEGs",10
"Chir02Ox-b19280.2","Chir02Ox-b19280.2","AT1G72610","GLP1",1.36104923065511,0.837,0.363,0,0,NA,NA,"cell division, extracellular matrix, extracellular region, growth, manganese ion binding, meiotic cell cycle process, mitochondrion, regulation of chlorophyll biosynthetic process, response to light intensity","DEGs",11
"Chir08Ox-b17400.2","Chir08Ox-b17400.2",NA,NA,1.20981808529935,0.808,0.401,0,0,NA,NA,NA,"DEGs",12
"Chir04Ox-b16600.2","Chir04Ox-b16600.2","AT2G34430","LHB1B1",1.81784679651617,0.867,0.435,0,0,NA,NA,"chlorophyll binding, chloroplast, chloroplast envelope, chloroplast thylakoid, chloroplast thylakoid membrane, endoplasmic reticulum, photosynthesis, photosynthesis, light harvesting in photosystem I, photosynthesis, light harvesting in photosystem II, response to light stimulus, thylakoid, thylakoid membrane","DEGs",13
"Chir04Ox-b28030.2","Chir04Ox-b28030.2","AT2G45190","AFO",0.701215879848913,0.87,0.441,0,0,"Yes","YABBY","abaxial cell fate specification, cell fate commitment, DNA-binding transcription factor activity, fruit development, inflorescence meristem growth, meristem structural organization, nucleus, polarity specification of adaxial/abaxial axis, protein binding, regulation of flower development, regulation of leaf development, regulation of shoot apical meristem development, specification of floral organ identity, specification of plant organ position, transcription cis-regulatory region binding","DEGs",14
"Chir07Ox-b20580.2","Chir07Ox-b20580.2",NA,NA,1.26921218799082,0.958,0.443,0,0,NA,NA,NA,"DEGs",15
