"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source","rank"
"Chir01Ox-b35540.2","Chir01Ox-b35540.2","AT1G45201","ATTLL1",1.18561765929627,0.13,0.011,0,0,NA,NA,"carboxylic acid metabolic process, defense response to other organism, extracellular region, flavonoid biosynthetic process, glucosinolate metabolic process, lipid metabolic process, nucleus, plant-type cell wall biogenesis, plant-type vacuole, regulation of defense response, response to abscisic acid, response to inorganic substance, response to jasmonic acid, response to light stimulus, response to wounding, secretory vesicle, triglyceride lipase activity","DEGs",1
"Chir03Ox-b16200.2","Chir03Ox-b16200.2","AT3G16430","JAL31",1.48540458617171,0.139,0.012,0,0,NA,NA,"copper ion binding, cytoplasm, cytosol, defense response to other organism, glucosinolate metabolic process, molecular_function, plant epidermis development, response to jasmonic acid","DEGs",2
"Chir02Ox-b22970.2","Chir02Ox-b22970.2","AT1G75900","GGL13",1.06728870399875,0.35,0.017,0,0,NA,NA,"acyltransferase activity, endoplasmic reticulum, extracellular region, lipase activity, response to osmotic stress, response to water deprivation","DEGs",3
"Chir03Ox-b16210.2","Chir03Ox-b16210.2",NA,NA,1.59709932896797,0.242,0.02,0,0,NA,NA,NA,"DEGs",4
"Chir06Ox-b05170.2","Chir06Ox-b05170.2","AT5G44020","MRH10.13",1.64042943704547,0.367,0.024,0,0,NA,NA,"acid phosphatase activity, cell differentiation, cellular lipid metabolic process, developmental growth, extracellular region, monocarboxylic acid metabolic process, plant epidermis development, plant-type vacuole, plasmodesma, plastid, porphyrin-containing compound metabolic process, response to light intensity, root hair elongation, root morphogenesis, unidimensional cell growth","DEGs",5
"Chir06Ox-b21610.2","Chir06Ox-b21610.2","AT5G17700","AT5G17700.1",1.38898019802587,0.633,0.025,0,0,NA,NA,"antiporter activity, carboxylic acid metabolic process, defense response, membrane, organelle organization, plasma membrane, transmembrane transporter activity, xenobiotic detoxification by transmembrane export across the plasma membrane, xenobiotic transmembrane transporter activity","DEGs",6
"Chir01Ox-b43670.2","Chir01Ox-b43670.2","AT1G55260","LTPG6",1.22752265533035,0.577,0.027,0,0,NA,NA,"defense response to fungus, membrane, nucleus","GEP_27and DEGs",7
"Chir01Ox-b08900.2","Chir01Ox-b08900.2","AT1G09310","SVBL",1.62902748091617,0.208,0.027,0,0,NA,NA,"apoplast, carboxylic acid metabolic process, cytosol, endoplasmic reticulum, extracellular region, glucosinolate metabolic process, Golgi apparatus, late endosome, nucleus, plasma membrane, protein-containing complex assembly, response to abscisic acid, response to light stimulus, response to temperature stimulus, trichome patterning","DEGs",8
"Chir06Ox-b24060.2","Chir06Ox-b24060.2","AT5G15310","ATMYB16",1.01863961302923,0.563,0.03,0,0,"Yes","MYB","cell morphogenesis, cuticle pattern formation, DNA-binding transcription factor activity, nucleus, regulation of cutin biosynthetic process","GEP_27and DEGs",9
"Chir07Ox-b14210.2","Chir07Ox-b14210.2","AT4G17470","AT4G17470.1",1.86094987952372,0.515,0.03,0,0,NA,NA,"chloroplast, intracellular membrane-bounded organelle, palmitoyl hydrolase activity, thiolester hydrolase activity","DEGs",10
"Chir06Ox-b13490.2","Chir06Ox-b13490.2","AT5G26280","AT5G26280.1",1.38184079388712,0.633,0.036,0,0,NA,NA,"amino acid metabolic process, carboxylic acid biosynthetic process, chloroplast, defense response to other organism, indole-containing compound metabolic process, plasmodesma, response to organic cyclic compound, response to organonitrogen compound, response to oxidative stress, response to wounding, secondary metabolic process","DEGs",11
"Chir07Ox-b20660.2","Chir07Ox-b20660.2",NA,NA,2.49576694104837,0.592,0.036,0,0,NA,NA,NA,"DEGs",12
