"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir01Ox-b41500.2","Chir01Ox-b41500.2","AT1G52690","LEA7",0.34676934639016,0.108,0.013,0.394186095099937,3,2.54272759076599e-196,4.99900244344594e-192,NA,NA,"cytosol, molecular_function, protein stabilization, response to freezing, response to water deprivation","GEP_21"
"Chir05Ox-b04600.2","Chir05Ox-b04600.2",NA,NA,0.679678566155528,0.358,0.028,0.305717251621368,9,0,0,NA,NA,NA,"GEP_21"
"Chir07Ox-b19300.2","Chir07Ox-b19300.2","AT4G22620","SAUR34",0.697173129791362,0.3,0.044,0.161902256909987,44,0,0,NA,NA,"cellular response to hormone stimulus, mitochondrion, molecular_function, response to abscisic acid, response to auxin, response to water deprivation, response to wounding, signal transduction","GEP_21"
"Chir02Ox-b23120.2","Chir02Ox-b23120.2","AT1G76070","AT1G76070.1",1.07980722995524,0.614,0.069,0.265074000550348,15,0,0,NA,NA,"cellular response to lipid, defense response to bacterium, defense response to fungus, hormone-mediated signaling pathway, immune system process, jasmonic acid mediated signaling pathway, monocarboxylic acid metabolic process, nucleus, organic acid biosynthetic process, protein binding, regulation of defense response, response to abscisic acid, response to chitin, response to inorganic substance, response to organic cyclic compound, response to oxidative stress, response to salt stress, response to temperature stimulus, response to wounding","GEP_21"
"Chir08Ox-b09780.2","Chir08Ox-b09780.2","AT4G08555",NA,1.72012357402256,0.587,0.076,0.344241845859404,7,0,0,NA,NA,"cellular_component, molecular_function, response to inorganic substance","GEP_21"
"Chir01Ox-b28790.2","Chir01Ox-b28790.2","AT1G30260","AT1G30260.1",0.308726792370891,0.254,0.09,0.216504844270021,28,8.45684794041624e-126,1.66261630508583e-121,NA,NA,"mitochondrion, response to cytokinin","GEP_21"
"Chir03Ox-b01260.2","Chir03Ox-b01260.2","AT3G02140","TMAC2",0.973089858854513,0.483,0.092,0.232883549013087,23,0,0,NA,NA,"negative regulation of abscisic acid-activated signaling pathway, negative regulation of DNA-templated transcription, nucleus, protein binding, regulation of starch biosynthetic process, response to abscisic acid, response to salt stress, signal transduction","GEP_21"
"Chir03Ox-b22130.2","Chir03Ox-b22130.2","AT3G22100","MZN24.31",0.470681617856685,0.349,0.102,0.336359771806431,8,9.45937754286777e-251,1.8597136249278e-246,"Yes","bHLH","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein dimerization activity, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding","GEP_21"
"Chir08Ox-b03770.2","Chir08Ox-b03770.2","AT4G03510","ATRMA1",1.45744392142887,0.542,0.104,0.192115102150748,33,0,0,NA,NA,"endoplasmic reticulum, ER-associated misfolded protein catabolic process, membrane, nucleus, protein exit from endoplasmic reticulum, secretion by cell, ubiquitin protein ligase activity, ubiquitin-dependent protein catabolic process, ubiquitin-like protein conjugating enzyme binding, ubiquitin-protein transferase activity","GEP_21"
"Chir04Ox-b14800.2","Chir04Ox-b14800.2","AT2G32800","AP4.3A",1.19488852344044,0.674,0.112,0.30248052030262,10,0,0,NA,NA,"cellular response to jasmonic acid stimulus, cellular response to salicylic acid stimulus, defense response to bacterium, defense response to oomycetes, nucleus, plasma membrane, protein phosphorylation, response to bacterium, response to wounding, transmembrane receptor protein serine/threonine kinase activity","GEP_21"
