"gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir02Ox-b16260.2","AT1G69780","ATHB13",0.63196319436341,0.684,0.226,0,0,"Yes","HD-ZIP","cotyledon morphogenesis, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, leaf morphogenesis, nucleus, positive regulation of DNA-templated transcription, primary root development, response to sucrose, sequence-specific DNA binding, transcription cis-regulatory region binding","DEGs"
"Chir06Ox-b00490.2","AT5G47370","HAT2",0.603485798271914,0.56,0.205,3.05827195599624e-293,6.0125626654886e-289,"Yes","HD-ZIP","auxin-activated signaling pathway, DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, negative regulation of DNA-templated transcription, nucleus, protein binding, response to auxin, sequence-specific DNA binding, shade avoidance, unidimensional cell growth","DEGs"
"Chir03Ox-b13460.2","AT3G13960","AtGRF5",0.595599900500025,0.585,0.23,0,0,"Yes","GRF","ATP binding, DNA-templated transcription, leaf development, nucleus, protein binding, regulation of DNA-templated transcription, response to cold, response to gibberellin","DEGs"
"Chir08Ox-b28190.2","AT5G65510","PLT7",0.594869458590082,0.762,0.416,6.94901220716712e-305,1.36617579992906e-300,"Yes","AP2","auxin mediated signaling pathway involved in phyllotactic patterning, callus formation, DNA binding, DNA-binding transcription factor activity, lateral root formation, leaf phyllotactic patterning, maintenance of shoot apical meristem identity, nucleus, phyllotactic patterning, protein binding, regulation of DNA-templated transcription","DEGs"
"Chir01Ox-b04960.2","AT1G05710","F3F20.16",0.571694506834088,0.705,0.391,2.21499212613104e-229,4.35467451997363e-225,"Yes","bHLH","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, protein dimerization activity, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding","DEGs"
"Chir01Ox-b35290.2","AT1G44830","AtERF014",0.511951935667159,0.351,0.036,0,0,"Yes","ERF","DNA-binding transcription factor activity, jasmonic acid and ethylene-dependent systemic resistance, nucleus, positive regulation of DNA-templated transcription, regulation of innate immune response, regulation of pectin biosynthetic process, salicylic acid mediated signaling pathway, transcription cis-regulatory region binding","DEGs"
"Chir06Ox-b35150.2","AT5G67651","RCO",0.484059732154093,0.215,0.012,0,0,"Yes",NA,"Leaf Complexity","DEGs"
"Chir04Ox-b13670.2","AT2G31730","T9H9.27",0.448871100860738,0.684,0.381,8.96734701208047e-201,1.76298042257502e-196,"Yes","bHLH","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, protein dimerization activity, regulation of transcription by RNA polymerase II, response to gibberellin, RNA polymerase II cis-regulatory region sequence-specific DNA binding","DEGs"
"Chir03Ox-b32220.2","AT2G17770","ATBZIP27",0.37915571597154,0.501,0.186,6.71612199135319e-255,1.32038958350004e-250,"Yes","bZIP","DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, protein binding, protein self-association, regulation of photoperiodism, flowering","DEGs"
"Chir07Ox-b06140.2","AT5G37020","ATARF8",0.356784793619266,0.598,0.26,6.36772326573025e-249,1.25189439404257e-244,"Yes","ARF","DNA-binding transcription factor activity, flower development, fruit development, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin, transcription cis-regulatory region binding","DEGs"
