"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir02Ox-b16470.2","Chir02Ox-b16470.2","AT1G69970","AT1G69970.2",1.11350370130452,0.295,0.003,0.433326274341184,12,0,0,NA,NA,"apoplast, cell-cell signaling involved in cell fate commitment, maintenance of root meristem identity, mitochondrion, phloem development, receptor serine/threonine kinase binding, regulation of cell differentiation","GEP_3"
"Chir08Ox-b05320.2","Chir08Ox-b05320.2",NA,NA,3.46400075937297,0.301,0.004,0.55709670957556,8,0,0,NA,NA,NA,"GEP_3"
"Chir06Ox-b20190.2","Chir06Ox-b20190.2","AT5G18970","F17K4.4",2.95751554008031,0.158,0.009,0.926498786217629,3,5.01180159479911e-73,9.85320193537504e-69,NA,NA,"biological_process, cellular_component, molecular_function","GEP_3"
"Chir03Ox-b00420.2","Chir03Ox-b00420.2","AT3G01670","AT3G01670.2",1.97796131170815,0.226,0.029,0.851059668915899,5,8.32999178252602e-45,1.63767638444462e-40,NA,NA,"chloroplast, nucleus, phloem development, protein binding, protein homodimerization activity, protein self-association","GEP_3"
"Chir07Ox-b30800.2","Chir07Ox-b30800.2","AT4G33490","F17M5.250",1.07516668815154,0.192,0.063,0.35922719451457,18,3.12216198405555e-11,6.13817046065322e-07,NA,NA,"aspartic-type endopeptidase activity, biological_process, extracellular region","GEP_3"
"Chir07Ox-b16040.2","Chir07Ox-b16040.2","AT4G19060","AT4G19060.1",0.970164651080754,0.253,0.081,0.460615977900733,11,1.33086538364153e-15,2.61648134423926e-11,NA,NA,"ADP binding, biological_process, nucleus","GEP_3"
"Chir06Ox-b34070.2","Chir06Ox-b34070.2","AT5G04890","RTM2",0.894884667845308,0.164,0.019,0.384380193662714,17,4.63833846664068e-36,9.11897342541558e-32,NA,NA,"molecular_function, plasma membrane, response to virus, transport of virus in host, tissue to tissue","GEP_3"
"Chir06Ox-b36800.2","Chir06Ox-b36800.2","AT5G02140","AT5G02140.1",0.882781905477297,0.219,0.003,0.504591589342609,10,0,0,NA,NA,"defense response, extracellular region, protein binding","GEP_3"
"Chir03Ox-b00160.2","Chir03Ox-b00160.2",NA,NA,0.845158656328016,0.247,0.008,0.412053520918783,16,5.94918629398759e-207,1.16961002539796e-202,NA,NA,NA,"GEP_3"
"Chir01Ox-b05840.2","Chir01Ox-b05840.2","AT1G06490","ATGSL07",0.779240473401898,0.199,0.076,0.414494579720433,15,2.97502519199596e-09,5.84889952746406e-05,NA,NA,"(1->3)-beta-D-glucan biosynthetic process, 1,3-beta-D-glucan synthase activity, 1,3-beta-D-glucan synthase complex, callose deposition in phloem sieve plate, glucosyltransferase activity, glycosyltransferase activity, mitochondrion, phloem transport, plasma membrane","GEP_3"
