"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir04Ox-b29500.2","Chir04Ox-b29500.2","AT2G46570","LAC6",1.36461107850937,0.417,0.001,0.997401558965896,1,0,0,NA,NA,"biological_process, copper ion binding, extracellular region, hydroquinone:oxygen oxidoreductase activity, oxidoreductase activity","GEP_30"
"Chir06Ox-b35840.2","Chir06Ox-b35840.2","AT5G03170","ATFLA11",2.83219860858101,0.562,0.002,0.642862082056568,8,0,0,NA,NA,"extracellular region, membrane, plant-type secondary cell wall biogenesis, plasma membrane, positive regulation of secondary cell wall biogenesis, response to mechanical stimulus, secondary cell wall","GEP_30"
"Chir08Ox-b22940.2","Chir08Ox-b22940.2","AT5G60490","AtFLA12",2.1618476427505,0.531,0.002,0.79622157716281,4,0,0,NA,NA,"extracellular region, membrane, plant-type secondary cell wall biogenesis, plasma membrane, positive regulation of secondary cell wall biogenesis","GEP_30"
"Chir01Ox-b00330.2","Chir01Ox-b00330.2","AT1G01900","ATSBT1.1",1.99521319963831,0.479,0.003,0.716705824068183,6,0,0,NA,NA,"apoplast, extracellular matrix, extracellular region, plant-type cell wall, proteolysis, serine-type endopeptidase activity","GEP_30"
"Chir03Ox-b09310.2","Chir03Ox-b09310.2","AT3G10080","AT3G10080.1",2.83320442696116,0.562,0.003,0.961305982209164,2,0,0,NA,NA,"extracellular region, manganese ion binding","GEP_30"
"Chir02Ox-b15170.2","Chir02Ox-b15170.2","AT1G68810","T5L1",2.22689059386348,0.469,0.004,0.891053813903821,3,0,0,"Yes","bHLH","DNA-binding transcription factor activity, nucleus, protein dimerization activity, regulation of DNA-templated transcription","GEP_30"
"Chir06Ox-b31200.2","Chir06Ox-b31200.2","AT5G07800","MXM12.4",1.35677094382359,0.385,0.008,0.438780296859923,19,0,0,NA,NA,"anatomical structure formation involved in morphogenesis, carbohydrate derivative metabolic process, flavin adenine dinucleotide binding, N,N-dimethylaniline monooxygenase activity, NADP binding, nucleus, oxoacid metabolic process, positive regulation of cellular process, response to inorganic substance, tissue development","GEP_30"
"Chir03Ox-b32580.2","Chir03Ox-b32580.2","AT2G18060","VND1",1.76765200513783,0.542,0.01,0.469568008171178,15,0,0,"Yes","NAC","callus formation, DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of secondary cell wall biogenesis, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, transcription cis-regulatory region binding, xylem vessel member cell differentiation","GEP_30"
"Chir02Ox-b27890.2","Chir02Ox-b27890.2","AT1G80100","AHP6",1.21028523103379,0.292,0.011,0.464569538970496,16,9.69345935081226e-138,1.90573410836969e-133,NA,NA,"cytokinin-activated signaling pathway, cytoplasm, mitochondrion, nucleus, phosphorelay signal transduction system, phosphorylation, protein histidine kinase binding, response to cytokinin, xylem development","GEP_30"
"Chir06Ox-b30590.2","Chir06Ox-b30590.2","AT5G08370","AtAGAL2",1.66716914218073,0.417,0.011,0.36730235380798,26,2.26695420607478e-277,4.45683196914302e-273,NA,NA,"alpha-galactosidase activity, apoplast, carbohydrate metabolic process, leaf morphogenesis, plant-type cell wall, positive regulation of flower development, raffinose alpha-galactosidase activity, response to fungus, secretory vesicle","GEP_30"
