"gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir06Ox-b00490.2","AT5G47370","HAT2",0.637708618584298,0.562,0.204,0,0,"Yes","HD-ZIP","auxin-activated signaling pathway, DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, negative regulation of DNA-templated transcription, nucleus, protein binding, response to auxin, sequence-specific DNA binding, shade avoidance, unidimensional cell growth","DEGs"
"Chir02Ox-b16260.2","AT1G69780","ATHB13",0.629089734120158,0.693,0.224,0,0,"Yes","HD-ZIP","cotyledon morphogenesis, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, leaf morphogenesis, nucleus, positive regulation of DNA-templated transcription, primary root development, response to sucrose, sequence-specific DNA binding, transcription cis-regulatory region binding","DEGs"
"Chir01Ox-b04960.2","AT1G05710","F3F20.16",0.600596386251667,0.708,0.39,1.0505294049082e-258,2.06534081004953e-254,"Yes","bHLH","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, protein dimerization activity, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding","DEGs"
"Chir03Ox-b13460.2","AT3G13960","AtGRF5",0.579725763658087,0.577,0.229,0,0,"Yes","GRF","ATP binding, DNA-templated transcription, leaf development, nucleus, protein binding, regulation of DNA-templated transcription, response to cold, response to gibberellin","DEGs"
"Chir08Ox-b28190.2","AT5G65510","PLT7",0.540773962712336,0.732,0.417,3.88788921484738e-262,7.64359019638996e-258,"Yes","AP2","auxin mediated signaling pathway involved in phyllotactic patterning, callus formation, DNA binding, DNA-binding transcription factor activity, lateral root formation, leaf phyllotactic patterning, maintenance of shoot apical meristem identity, nucleus, phyllotactic patterning, protein binding, regulation of DNA-templated transcription","DEGs"
"Chir01Ox-b35290.2","AT1G44830","AtERF014",0.53556099988031,0.352,0.035,0,0,"Yes","ERF","DNA-binding transcription factor activity, jasmonic acid and ethylene-dependent systemic resistance, nucleus, positive regulation of DNA-templated transcription, regulation of innate immune response, regulation of pectin biosynthetic process, salicylic acid mediated signaling pathway, transcription cis-regulatory region binding","DEGs"
"Chir08Ox-b28310.2","AT5G65640","bHLH093",0.399296659023425,0.477,0.161,3.97548120415938e-303,7.81579604737733e-299,"Yes","bHLH","DNA-binding transcription factor activity, gibberellin catabolic process, nucleus, protein dimerization activity, regulation of DNA-templated transcription, regulation of gibberellin biosynthetic process, sequence-specific DNA binding","DEGs"
"Chir03Ox-b32220.2","AT2G17770","ATBZIP27",0.393049220022756,0.509,0.184,4.87522700877914e-286,9.58469629925979e-282,"Yes","bZIP","DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, protein binding, protein self-association, regulation of photoperiodism, flowering","DEGs"
"Chir08Ox-b08610.2","AT4G09820","BHLH42",0.39047884988253,0.238,0.096,1.70386374708871e-93,3.3497961267764e-89,"Yes","bHLH","DNA-binding transcription factor activity, jasmonic acid mediated signaling pathway, nucleus, positive regulation of anthocyanin biosynthetic process, protein binding, protein dimerization activity, regulation of flavonoid biosynthetic process, regulation of proanthocyanidin biosynthetic process, seed coat development, seed development, transcription cis-regulatory region binding, trichome differentiation","DEGs"
"Chir06Ox-b35150.2","AT5G67651","RCO",0.37969248310347,0.178,0.014,0,0,"Yes",NA,"Leaf Complexity","DEGs"
