"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source","rank"
"Chir08Ox-b06190.2","Chir08Ox-b06190.2",NA,NA,1.65974171690034,0.13,0.003,0,0,NA,NA,NA,"DEGs",1
"Chir01Ox-b43090.2","Chir01Ox-b43090.2","AT1G54020","AT1G54020.2",0.311539428743324,0.236,0.018,3.88818606067497e-234,7.644173795287e-230,NA,NA,"amino acid metabolic process, carboxylic acid biosynthetic process, cytosol, extracellular region, hydrolase activity, acting on ester bonds, indole-containing compound biosynthetic process, isoprenoid metabolic process, plant-type vacuole, response to inorganic substance, response to jasmonic acid, response to wounding, sulfur compound biosynthetic process, vacuole","GEP_9and DEGs",2
"Chir03Ox-b16250.2","Chir03Ox-b16250.2","AT3G16470","JAL35",1.94623781970007,0.46,0.038,0,0,NA,NA,"carbohydrate binding, chloroplast, cytoplasm, cytosol, nucleus, plant-type vacuole, plasmodesma, protein binding, response to jasmonic acid, response to wounding, vegetative to reproductive phase transition of meristem","GEP_9and DEGs",3
"Chir02Ox-b15930.2","Chir02Ox-b15930.2","AT1G69490","ANAC029",0.299743923922319,0.215,0.044,2.21892397694371e-71,4.36240453867133e-67,"Yes","NAC","DNA-binding transcription factor activity, embryo development ending in seed dormancy, flower development, fruit ripening, leaf senescence, multidimensional cell growth, nucleus, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs",4
"Chir06Ox-b32080.2","Chir06Ox-b32080.2",NA,NA,0.371739899085363,0.265,0.047,3.27456833891419e-108,6.4378013543053e-104,NA,NA,NA,"GEP_9and DEGs",5
"Chir04Ox-b21900.2","Chir04Ox-b21900.2",NA,NA,1.63072669161014,0.424,0.056,1.09361859784752e-256,2.15005416336823e-252,NA,NA,NA,"GEP_9and DEGs",6
"Chir01Ox-b40890.2","Chir01Ox-b40890.2","AT1G52040","ATMBP",3.51270862235682,0.667,0.061,0,0,NA,NA,"cytoplasm, defense response, nucleus, plant-type vacuole","DEGs",7
"Chir02Ox-b20340.2","Chir02Ox-b20340.2",NA,NA,2.30346756712857,0.803,0.076,0,0,NA,NA,NA,"GEP_9and DEGs",8
"Chir02Ox-b16020.2","Chir02Ox-b16020.2","AT1G69570","CDF5",0.395956221889717,0.23,0.081,6.02058377723163e-34,1.18364677060374e-29,"Yes","Dof","DNA binding, DNA-binding transcription factor activity, negative regulation of long-day photoperiodism, flowering, negative regulation of short-day photoperiodism, flowering, nucleus, regulation of DNA-templated transcription","DEGs",9
"Chir02Ox-b20100.2","Chir02Ox-b20100.2","AT1G73325","AT1G73325.1",0.460659064550644,0.429,0.083,4.24003249921583e-160,8.33590389345832e-156,NA,NA,"alpha-amino acid metabolic process, defense response to other organism, extracellular region, flavonoid biosynthetic process, response to jasmonic acid, response to wounding","GEP_9and DEGs",10
"Chir05Ox-b05920.2","Chir05Ox-b05920.2","AT3G28220","AT3G28220.1",3.19902820789198,0.836,0.087,0,0,NA,NA,"alpha-amino acid metabolic process, amine metabolic process, cellular component assembly, chloroplast envelope, cytosol, nucleus, plant-type vacuole, response to jasmonic acid, response to wounding, secondary metabolic process","GEP_9and DEGs",11
"Chir05Ox-b14380.2","Chir05Ox-b14380.2","AT3G49360","PGL2",1.98937798070397,0.665,0.094,0,0,NA,NA,"6-phosphogluconolactonase activity, carbohydrate metabolic process, cytoplasm, cytosol, pentose-phosphate shunt, oxidative branch, plant-type vacuole","GEP_9and DEGs",12
"Chir06Ox-b00580.2","Chir06Ox-b00580.2","AT5G47240","atnudt8",1.10128104314284,0.418,0.102,3.02158858493268e-119,5.94044315797764e-115,NA,NA,"ADP-ribose diphosphatase activity, cytosol, NAD binding, NADH pyrophosphatase activity, response to wounding","DEGs",13
