"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir07Ox-b11460.2","Chir07Ox-b11460.2","AT4G15140","DL3615C",1.17046324742438,0.715,0.037,0.984761155939924,2,0,0,NA,NA,"cellular catabolic process, defense response to other organism, molecular_function, nucleus, organonitrogen compound catabolic process, regulation of cell cycle process, regulation of defense response, response to jasmonic acid","GEP_11"
"Chir08Ox-b18100.2","Chir08Ox-b18100.2","AT5G56120","MDA7.18",1.58941821597258,0.732,0.04,0.999976383520927,1,0,0,NA,NA,"biological_process, mitochondrion, molecular_function","GEP_11"
"Chir02Ox-b02110.2","Chir02Ox-b02110.2","AT1G63100","SCL28",1.06757903411481,0.816,0.05,0.915543565771915,5,0,0,"Yes","GRAS","DNA binding, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, regulation of mitotic cell cycle, sequence-specific DNA binding","GEP_11"
"Chir05Ox-b17110.2","Chir05Ox-b17110.2","AT3G51740","IMK2",1.72439682112989,0.901,0.058,0.95974153733925,3,0,0,NA,NA,"anatomical structure formation involved in morphogenesis, cell division, embryo development, fruit development, kinase activity, membrane, multicellular organismal reproductive process, plant-type cell wall, plasma membrane, plasmodesma, protein kinase activity, protein phosphorylation, tissue development","GEP_11"
"Chir03Ox-b10770.2","Chir03Ox-b10770.2","AT3G11520","CYCB1;3",1.03800576158691,0.728,0.066,0.858535122957901,10,0,0,NA,NA,"centrosome, cyclin-dependent protein kinase holoenzyme complex, cyclin-dependent protein serine/threonine kinase regulator activity, cytoplasm, mitotic cell cycle phase transition, nucleus, protein binding, regulation of cyclin-dependent protein serine/threonine kinase activity","GEP_11"
"Chir05Ox-b17060.2","Chir05Ox-b17060.2","AT3G51720","T18N14.100",1.35344916541567,0.828,0.067,0.624493324510635,44,0,0,NA,NA,"chloroplast accumulation movement, chloroplast avoidance movement, cytosol, extracellular region, molecular_function","GEP_11"
"Chir05Ox-b16570.2","Chir05Ox-b16570.2","AT3G51230","AT3G51230.1",2.64450181384348,0.924,0.069,0.878132773772016,7,0,0,NA,NA,"negative regulation of cellular process, nucleus","GEP_11"
"Chir05Ox-b16620.2","Chir05Ox-b16620.2","AT3G51280","F24M12.320",1.12126695580209,0.535,0.07,0.62086823702347,45,0,0,NA,NA,"negative regulation of cellular process, RNA processing","GEP_11"
"Chir08Ox-b30340.2","Chir08Ox-b30340.2","AT5G66230","AT5G66230.2",2.38230176080105,0.728,0.073,0.848600464189023,13,0,0,NA,NA,"chloroplast, intramolecular lyase activity, negative regulation of cellular process, plant-type secondary cell wall biogenesis, stomatal complex development","GEP_11"
"Chir02Ox-b02100.2","Chir02Ox-b02100.2",NA,NA,1.84096551627743,0.89,0.074,0.796241602752356,17,0,0,NA,NA,NA,"GEP_11"
