"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source","rank"
"Chir01Ox-b40890.2","Chir01Ox-b40890.2","AT1G52040","ATMBP",1.5860137126638,0.177,0.059,3.33870253356537e-133,6.56388918098951e-129,NA,NA,"cytoplasm, defense response, nucleus, plant-type vacuole","DEGs",1
"Chir05Ox-b18300.2","Chir05Ox-b18300.2","AT3G52770","ZPR3",0.250661251883071,0.225,0.072,2.12308452985159e-177,4.17398418568822e-173,NA,NA,"adaxial/abaxial axis specification, leaf shaping, leaf vascular tissue pattern formation, meristem maintenance, negative regulation of DNA-binding transcription factor activity, nucleus, protein binding, regulation of meristem growth","GEP_43and DEGs",2
"Chir02Ox-b20340.2","Chir02Ox-b20340.2",NA,NA,0.710841587744236,0.199,0.076,2.4891865102205e-122,4.8937406790935e-118,NA,NA,NA,"DEGs",3
"Chir05Ox-b05920.2","Chir05Ox-b05920.2","AT3G28220","AT3G28220.1",1.29157978465989,0.249,0.083,2.56577699341588e-199,5.04431756905563e-195,NA,NA,"alpha-amino acid metabolic process, amine metabolic process, cellular component assembly, chloroplast envelope, cytosol, nucleus, plant-type vacuole, response to jasmonic acid, response to wounding, secondary metabolic process","DEGs",4
"Chir03Ox-b33620.2","Chir03Ox-b33620.2","AT2G18969","HLH3",0.386324504902966,0.343,0.086,0,0,NA,NA,"molecular_function, nucleus, regulation of DNA-templated transcription","GEP_43and DEGs",5
"Chir01Ox-b14670.2","Chir01Ox-b14670.2","AT1G14600","AT1G14600.1",0.34617967990127,0.493,0.191,0,0,"Yes","G2-like","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","GEP_43and DEGs",6
"Chir01Ox-b05100.2","Chir01Ox-b05100.2","AT1G05835",NA,0.723235389668114,0.656,0.307,0,0,NA,NA,"cell fate determination, cellular_component, molecular_function, plant-type cell wall organization or biogenesis, tissue development","GEP_43and DEGs",7
"Chir01Ox-b40930.2","Chir01Ox-b40930.2",NA,NA,1.19911213908396,0.678,0.308,0,0,NA,NA,NA,"DEGs",8
"Chir03Ox-b00610.2","Chir03Ox-b00610.2","AT3G01500","CA1",1.55782794864009,0.672,0.351,0,0,NA,NA,"apoplast, carbon utilization, carbonate dehydratase activity, chloroplast, chloroplast envelope, chloroplast stroma, chloroplast thylakoid membrane, cytoplasm, cytosol, mRNA binding, negative regulation of stomatal complex development, photosynthesis, plasma membrane, regulation of stomatal movement, response to carbon dioxide, response to cold, stromule, thylakoid, zinc ion binding","GEP_43and DEGs",9
"Chir01Ox-b40880.2","Chir01Ox-b40880.2",NA,NA,1.37703831953107,0.726,0.361,0,0,NA,NA,NA,"DEGs",10
"Chir02Ox-b21810.2","Chir02Ox-b21810.2","AT1G74880","NDH-O",0.74381868142796,0.912,0.537,0,0,NA,NA,"chloroplast, chloroplast thylakoid membrane, mitochondrion, NAD(P)H dehydrogenase complex (plastoquinone), oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor, plasma membrane","DEGs",11
"Chir04Ox-b09790.2","Chir04Ox-b09790.2",NA,NA,0.973892520578635,0.937,0.568,0,0,NA,NA,NA,"DEGs",12
"Chir01Ox-b08930.2","Chir01Ox-b08930.2","AT1G09340","CRB",1.11808618124238,0.937,0.625,0,0,NA,NA,"apoplast, cellular response to water deprivation, chloroplast, chloroplast envelope, chloroplast organization, chloroplast stroma, circadian rhythm, cytosol, DNA binding, extracellular region, Golgi apparatus, heteropolysaccharide binding, monosaccharide metabolic process, mRNA binding, peroxisome, plant-type vacuole, plasmodesma, plastid translation, plastid-encoded plastid RNA polymerase complex, plastoglobule, positive regulation of DNA-templated transcription, positive regulation of translation, protein binding, regulation of gene expression, response to cold, response to wounding, ribosome, RNA binding, rRNA processing, stromule","DEGs",13
"Chir05Ox-b05320.2","Chir05Ox-b05320.2",NA,NA,0.701961506448504,0.959,0.653,0,0,NA,NA,NA,"DEGs",14
"Chir03Ox-b22180.2","Chir03Ox-b22180.2","AT3G22142",NA,0.774973303366448,0.995,0.691,0,0,NA,NA,"cell differentiation, cellular_component, molecular_function, root development, shoot system development, tissue development","DEGs",15
