"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir01Ox-b18070.2","Chir01Ox-b18070.2",NA,NA,0.289888205214445,0.201,0.041,0.512233106820441,8,0,0,NA,NA,NA,"GEP_38"
"Chir04Ox-b10990.2","Chir04Ox-b10990.2",NA,NA,0.524057711691617,0.264,0.045,0.816568743575845,1,0,0,NA,NA,NA,"GEP_38"
"Chir04Ox-b10020.2","Chir04Ox-b10020.2","AT2G28500","AT2G28500.1",0.372784446484232,0.359,0.069,0.519422020817176,7,0,0,"Yes","LBD","cellular catabolic process, defense response to other organism, immune system process, negative regulation of abscisic acid-activated signaling pathway, nucleus, organic substance catabolic process, phyllome development, regulation of defense response, response to fungus, response to organonitrogen compound, response to salt stress, response to water deprivation, salicylic acid mediated signaling pathway","GEP_38"
"Chir06Ox-b04340.2","Chir06Ox-b04340.2","AT5G44578","PROSCOOP9",0.391012733142142,0.228,0.073,0.355900430042624,19,2.18430585734703e-211,4.29434531554427e-207,NA,NA,"biological_process, endoplasmic reticulum, extracellular region, mitochondrion, molecular_function","GEP_38"
"Chir05Ox-b21860.2","Chir05Ox-b21860.2","AT3G56220","F18O21.180",0.709856807697346,0.455,0.091,0.799266320819172,2,0,0,NA,NA,"DNA-binding transcription factor activity, mitochondrion, nucleus, protein dimerization activity, regulation of DNA-templated transcription, sequence-specific DNA binding","GEP_38"
"Chir08Ox-b16160.2","Chir08Ox-b16160.2","AT5G54190","AT5G54190.1",0.269495464163811,0.228,0.101,0.380881830188584,17,6.18292746172226e-119,1.2155635389746e-114,NA,NA,"chlorophyll biosynthetic process, chloroplast, chloroplast envelope, chloroplast thylakoid, mRNA binding, photomorphogenesis, protein binding, protochlorophyllide reductase activity, response to ethylene, skotomorphogenesis","GEP_38"
"Chir01Ox-b43120.2","Chir01Ox-b43120.2","AT1G54040","ESP",0.514741912207069,0.326,0.106,0.349138475702906,20,0,0,NA,NA,"chloroplast, cytoplasm, defense response to bacterium, enzyme regulator activity, glucosinolate catabolic process, leaf senescence, nitrile biosynthetic process, nucleus, protein binding, response to jasmonic acid","GEP_38"
"Chir04Ox-b23190.2","Chir04Ox-b23190.2","AT2G40435","T2P4.23",0.768673703877895,0.487,0.107,0.643954557152379,3,0,0,NA,NA,"DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, sequence-specific DNA binding","GEP_38"
"Chir06Ox-b24210.2","Chir06Ox-b24210.2","AT5G15160","BNQ2",0.429358961401681,0.357,0.114,0.504217593302015,11,0,0,"Yes","bHLH","DNA-binding transcription factor activity, photomorphogenesis, plant-type vacuole, protein binding, protein dimerization activity, regulation of DNA-templated transcription, regulation of growth, regulation of timing of transition from vegetative to reproductive phase","GEP_38"
"Chir02Ox-b02960.2","Chir02Ox-b02960.2","AT1G62510","T3P18.7",0.356619212427155,0.351,0.123,0.486744140936831,12,1.99380863211975e-304,3.91982777074744e-300,NA,NA,"cellular_component, molecular_function, oxoacid metabolic process, response to lipid, response to water deprivation","GEP_38"
