"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir03Ox-b28030.2","Chir03Ox-b28030.2","AT2G13820","AtXYP2",2.06520291971442,0.5,0.014,0.559056598738856,1,0,0,NA,NA,"extracellular region, lipid binding, lipid transport, plasma membrane, xylem development","GEP_10"
"Chir02Ox-b00230.2","Chir02Ox-b00230.2","AT1G64620","VDOF2",1.02892972186134,0.617,0.036,0.246959147098806,17,0,0,"Yes","Dof","DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding","GEP_10"
"Chir01Ox-b27170.2","Chir01Ox-b27170.2","AT1G28400","F3M18.16",2.11167316044337,0.786,0.043,0.26447359298486,13,0,0,NA,NA,"biological_process, cellular_component, molecular_function","GEP_10"
"Chir07Ox-b21070.2","Chir07Ox-b21070.2","AT4G24060","Dof4.6",1.11426412791664,0.746,0.066,0.143780233626199,25,0,0,"Yes","Dof","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","GEP_10"
"Chir02Ox-b03080.2","Chir02Ox-b03080.2","AT1G62380","ATACO2",1.2184701965995,0.252,0.072,0.160506840421096,24,1.96181248087497e-125,3.85692333740019e-121,NA,NA,"1-aminocyclopropane-1-carboxylate oxidase activity, cellular response to fatty acid, cellular response to nitric oxide, copper ion binding, cytoplasm, cytosol, detection of ethylene stimulus, dioxygenase activity, endoplasmic reticulum, ethylene biosynthetic process, Golgi apparatus, nucleus, plant-type cell wall, plasma membrane, plasmodesma, positive regulation of seed germination","GEP_10"
"Chir02Ox-b22440.2","Chir02Ox-b22440.2","AT1G75500","UMAMIT5",1.99079071833963,0.582,0.088,0.245008859016488,18,0,0,NA,NA,"auxin export across the plasma membrane, mitochondrion, plant-type secondary cell wall biogenesis, plant-type vacuole, plant-type vacuole membrane, plasma membrane, positive regulation of auxin metabolic process, positive regulation of tryptophan metabolic process, transmembrane transporter activity, unidimensional cell growth","GEP_10"
"Chir06Ox-b17980.2","Chir06Ox-b17980.2","AT5G21105",NA,1.55737054641172,0.717,0.096,0.203509198389479,20,0,0,NA,NA,"alpha-amino acid metabolic process, carboxylic acid biosynthetic process, copper ion binding, extracellular region, L-ascorbate oxidase activity, oxidoreductase activity, plant-type cell wall, plasmodesma, response to jasmonic acid, response to water deprivation, response to wounding","GEP_10"
"Chir04Ox-b18820.2","Chir04Ox-b18820.2","AT2G36570","PXC1",0.999363452232826,0.624,0.049,0.229807488226331,19,0,0,NA,NA,"kinase activity, plant-type secondary cell wall biogenesis, plasma membrane, protein kinase activity, protein phosphorylation","GEP_10"
"Chir04Ox-b23870.2","Chir04Ox-b23870.2","AT2G41130","STC8",0.99040669286964,0.44,0.048,0.262581989409694,14,0,0,"Yes","bHLH","chloroplast envelope, DNA-binding transcription factor activity, hyperosmotic salinity response, nucleus, protein dimerization activity, regulation of DNA-templated transcription","GEP_10"
"Chir05Ox-b27550.2","Chir05Ox-b27550.2","AT3G61850","DAG1",0.807345027164595,0.515,0.019,0.491875018183328,2,0,0,"Yes","Dof","chromatin binding, DNA-binding transcription factor activity, negative regulation of DNA-templated transcription, nucleus, regulation of DNA-templated transcription, response to red or far red light, seed germination, transcription cis-regulatory region binding","GEP_10"
