"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir05Ox-b21110.2","Chir05Ox-b21110.2","AT3G55500","ATEXPA16",2.53535377984474,0.416,0.002,0.775316160381665,2,0,0,NA,NA,"extracellular region, plant-type cell wall loosening, plant-type cell wall organization, syncytium formation, unidimensional cell growth","GEP_28"
"Chir01Ox-b08370.2","Chir01Ox-b08370.2","AT1G08810","AtMYB60",1.18259826914245,0.48,0.003,0.644664231592264,4,0,0,"Yes","MYB","DNA-binding transcription factor activity, negative regulation of response to water deprivation, nucleus, response to abscisic acid, response to absence of light, response to auxin, response to blue light, response to cold, response to light stimulus, response to salt, response to sucrose, response to UV, response to water deprivation, stomatal movement, transcription cis-regulatory region binding","GEP_28"
"Chir01Ox-b17020.2","Chir01Ox-b17020.2","AT1G16960","F17F16.18",1.66986945482418,0.549,0.004,0.467131038826758,11,0,0,NA,NA,"biological_process, cytoplasm, molecular_function","GEP_28"
"Chir08Ox-b21640.2","Chir08Ox-b21640.2",NA,NA,1.36361715792897,0.116,0.006,0.359379119710611,17,1.21117473533127e-65,2.38116952966128e-61,NA,NA,NA,"GEP_28"
"Chir07Ox-b15170.2","Chir07Ox-b15170.2","AT4G18280","GRPL1",4.48470969869498,0.434,0.013,0.616010614364878,5,0,0,NA,NA,"cellular_component, molecular_function, response to stress","GEP_28"
"Chir03Ox-b30540.2","Chir03Ox-b30540.2","AT2G16630","FOCL1",1.11534375876628,0.341,0.015,0.417686535517951,14,1.21334074980942e-238,2.38542791412531e-234,NA,NA,"extracellular region, molecular_function, stomatal complex development","GEP_28"
"Chir07Ox-b37240.2","Chir07Ox-b37240.2","AT4G38420","sks9",1.00961458076004,0.202,0.015,0.684258409455569,3,2.68186368704631e-85,5.27254400873305e-81,NA,NA,"copper ion binding, extracellular region, oxidoreductase activity, plant-type cell wall, plasmodesma, response to bacterium, response to light stimulus","GEP_28"
"Chir01Ox-b27220.2","Chir01Ox-b27220.2",NA,NA,3.41869100990115,0.434,0.018,0.427224586141024,13,0,0,NA,NA,NA,"GEP_28"
"Chir03Ox-b05340.2","Chir03Ox-b05340.2",NA,NA,1.00865011462297,0.341,0.022,0.179399413578144,28,9.42723431821913e-166,1.85339426696188e-161,NA,NA,NA,"GEP_28"
"Chir08Ox-b30170.2","Chir08Ox-b30170.2","AT5G66400","RAB18",3.56169370695231,0.306,0.025,0.532357023135391,9,5.13008924794028e-122,1.00857554614506e-117,NA,NA,"cold acclimation, cytosol, molecular_function, response to 1-aminocyclopropane-1-carboxylic acid, response to abscisic acid, response to water deprivation","GEP_28"
