"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir02Ox-b11720.2","Chir02Ox-b11720.2","AT1G57820","VIM1",0.723349638920874,0.739,0.237,0.49867269356687,12,0,0,NA,NA,"cell division, chromatin binding, chromatin organization, chromocenter, DNA methylation on cytosine, DNA methylation on cytosine within a CG sequence, double-stranded methylated DNA binding, histone binding, maintenance of DNA methylation, methyl-CpG binding, methyl-CpNpG binding, methyl-CpNpN binding, nucleus, pericentric heterochromatin formation, positive regulation of DNA methylation-dependent heterochromatin formation, ubiquitin protein ligase activity, ubiquitin-protein transferase activity","GEP_5"
"Chir02Ox-b23040.2","Chir02Ox-b23040.2",NA,NA,1.24737319691561,0.878,0.301,0.480374479303449,15,0,0,NA,NA,NA,"GEP_5"
"Chir01Ox-b15040.2","Chir01Ox-b15040.2","AT1G14900","HMGA",0.705427412173612,0.715,0.32,0.408604230844399,20,0,0,NA,NA,"chloroplast, chromatin, cytosol, DNA binding, double-stranded DNA binding, negative regulation of DNA recombination, nucleolus, nucleosomal DNA binding, nucleosome, nucleosome assembly, nucleus, regulation of DNA-templated transcription","GEP_5"
"Chir04Ox-b10410.2","Chir04Ox-b10410.2",NA,NA,2.46548634994981,0.91,0.324,0.674336202577954,3,0,0,NA,NA,NA,"GEP_5"
"Chir05Ox-b11100.2","Chir05Ox-b11100.2",NA,NA,2.14863115909192,0.919,0.353,0.579426829182069,9,0,0,NA,NA,NA,"GEP_5"
"Chir08Ox-b22280.2","Chir08Ox-b22280.2","AT5G59870","HTA6",1.98964620722223,0.908,0.361,0.781087027957264,1,0,0,NA,NA,"chromatin binding, DNA binding, heterochromatin, heterochromatin organization, nucleolus, nucleus, pericentric heterochromatin, plasmodesma, plastid, protein heterodimerization activity, structural constituent of chromatin","GEP_5"
"Chir01Ox-b08780.2","Chir01Ox-b08780.2",NA,NA,2.61625641071565,0.932,0.396,0.648962306639402,5,0,0,NA,NA,NA,"GEP_5"
"Chir01Ox-b11230.2","Chir01Ox-b11230.2","AT1G80740","CMT1",0.735750545216815,0.871,0.411,0.267980433175623,32,0,0,NA,NA,"chromatin binding, DNA (cytosine-5-)-methyltransferase activity, DNA-mediated transformation, nucleus","GEP_5"
"Chir01Ox-b08430.2","Chir01Ox-b08430.2","AT1G08880","HTA5",1.56585363933893,0.904,0.426,0.634018242728711,6,0,0,NA,NA,"DNA binding, extracellular region, nucleus, protein heterodimerization activity, structural constituent of chromatin","GEP_5"
"Chir05Ox-b19240.2","Chir05Ox-b19240.2",NA,NA,2.30729485390304,0.929,0.427,0.611868864024846,8,0,0,NA,NA,NA,"GEP_5"
